ds,hour,station_key,guests_count,version,required,actual,diff,status
2026-04-29,21,C,22,будни/осн.,1,1,0,exact
2026-04-29,21,FF,22,будни/осн.,1,1,0,exact
2026-04-29,21,K,22,будни/осн.,2,2,0,exact
2026-04-29,21,TS,22,будни/осн.,1,1,0,exact
2026-04-29,22,BVR,26,будни/осн.,1,1,0,exact
2026-04-29,22,C,26,будни/осн.,1,1,0,exact
2026-04-29,22,FF,26,будни/осн.,1,1,0,exact
2026-04-29,22,K,26,будни/осн.,2,2,0,exact
2026-04-29,22,TS,26,будни/осн.,1,1,0,exact
2026-04-30,7,BVR,72,будни/утр.,1,1,0,exact
2026-04-30,7,C,72,будни/утр.,2,2,0,exact
2026-04-30,7,FF,72,будни/утр.,1,1,0,exact
2026-04-30,7,K,72,будни/утр.,4,4,0,exact
2026-04-30,7,TS,72,будни/утр.,1,1,0,exact
2026-04-30,8,BVR,60,будни/утр.,1,1,0,exact
2026-04-30,8,C,60,будни/утр.,2,2,0,exact
2026-04-30,8,FF,60,будни/утр.,1,1,0,exact
2026-04-30,8,K,60,будни/утр.,3,4,1,over
2026-04-30,8,TS,60,будни/утр.,1,1,0,exact
2026-04-30,9,BVR,40,будни/утр.,1,1,0,exact
2026-04-30,9,C,40,будни/утр.,2,2,0,exact
2026-04-30,9,FF,40,будни/утр.,1,1,0,exact
2026-04-30,9,K,40,будни/утр.,2,4,2,over
2026-04-30,9,TS,40,будни/утр.,1,1,0,exact
2026-04-30,10,BVR,35,будни/осн.,1,1,0,exact
2026-04-30,10,C,35,будни/осн.,1,1,0,exact
2026-04-30,10,FF,35,будни/осн.,1,1,0,exact
2026-04-30,10,K,35,будни/осн.,2,2,0,exact
2026-04-30,10,TS,35,будни/осн.,1,1,0,exact
2026-04-30,11,BVR,26,будни/осн.,1,1,0,exact
2026-04-30,11,C,26,будни/осн.,1,1,0,exact
2026-04-30,11,FF,26,будни/осн.,1,1,0,exact
2026-04-30,11,K,26,будни/осн.,2,2,0,exact
2026-04-30,11,TS,26,будни/осн.,1,1,0,exact
2026-04-30,12,BVR,21,будни/осн.,1,1,0,exact
2026-04-30,12,C,21,будни/осн.,1,1,0,exact
2026-04-30,12,FF,21,будни/осн.,1,1,0,exact
2026-04-30,12,K,21,будни/осн.,2,2,0,exact
2026-04-30,12,TS,21,будни/осн.,1,1,0,exact
2026-04-30,13,BVR,24,будни/осн.,1,1,0,exact
2026-04-30,13,C,24,будни/осн.,1,1,0,exact
2026-04-30,13,FF,24,будни/осн.,1,1,0,exact
2026-04-30,13,K,24,будни/осн.,2,2,0,exact
2026-04-30,13,TS,24,будни/осн.,1,1,0,exact
2026-04-30,14,BVR,72,будни/осн.,1,1,0,exact
2026-04-30,14,C,72,будни/осн.,2,2,0,exact
2026-04-30,14,FF,72,будни/осн.,1,1,0,exact
2026-04-30,14,K,72,будни/осн.,5,5,0,exact
2026-04-30,14,TS,72,будни/осн.,1,1,0,exact
2026-04-30,15,BVR,72,будни/осн.,1,1,0,exact
2026-04-30,15,C,72,будни/осн.,2,2,0,exact
2026-04-30,15,FF,72,будни/осн.,1,1,0,exact
2026-04-30,15,K,72,будни/осн.,5,5,0,exact
2026-04-30,15,TS,72,будни/осн.,1,1,0,exact
2026-04-30,16,BVR,67,будни/осн.,1,1,0,exact
2026-04-30,16,C,67,будни/осн.,2,2,0,exact
2026-04-30,16,FF,67,будни/осн.,1,1,0,exact
2026-04-30,16,K,67,будни/осн.,4,4,0,exact
2026-04-30,16,TS,67,будни/осн.,1,1,0,exact
2026-04-30,17,BVR,36,будни/осн.,1,1,0,exact
2026-04-30,17,C,36,будни/осн.,1,1,0,exact
2026-04-30,17,FF,36,будни/осн.,1,1,0,exact
2026-04-30,17,K,36,будни/осн.,2,2,0,exact
2026-04-30,17,TS,36,будни/осн.,1,1,0,exact
2026-04-30,18,BVR,31,будни/осн.,1,1,0,exact
2026-04-30,18,C,31,будни/осн.,1,1,0,exact
2026-04-30,18,FF,31,будни/осн.,1,1,0,exact
2026-04-30,18,K,31,будни/осн.,2,2,0,exact
2026-04-30,18,TS,31,будни/осн.,1,1,0,exact
2026-04-30,19,BVR,24,будни/осн.,1,1,0,exact
2026-04-30,19,C,24,будни/осн.,1,1,0,exact
2026-04-30,19,FF,24,будни/осн.,1,1,0,exact
2026-04-30,19,K,24,будни/осн.,2,2,0,exact
2026-04-30,19,TS,24,будни/осн.,1,1,0,exact
2026-04-30,20,BVR,18,будни/осн.,1,1,0,exact
2026-04-30,20,C,18,будни/осн.,1,2,1,over
2026-04-30,20,FF,18,будни/осн.,1,1,0,exact
2026-04-30,20,K,18,будни/осн.,2,4,2,over
2026-04-30,20,TS,18,будни/осн.,1,1,0,exact
2026-04-30,21,BVR,22,будни/осн.,1,1,0,exact
2026-04-30,21,C,22,будни/осн.,1,2,1,over
2026-04-30,21,FF,22,будни/осн.,1,1,0,exact
2026-04-30,21,K,22,будни/осн.,2,4,2,over
2026-04-30,21,TS,22,будни/осн.,1,1,0,exact
2026-04-30,22,BVR,70,будни/осн.,1,1,0,exact
2026-04-30,22,C,70,будни/осн.,2,2,0,exact
